"","Date","PosCount","NegCount","TrustCount","AngerCount","AnticipationCount","DisgustCount","FearCount","JoyCount","SadnessCount","SurpriseCount"
"1",2008-06-08,19,28,12,15,9,5,22,3,10,5
"2",2008-06-09,25,25,20,16,16,3,22,9,9,4
"3",2008-06-10,11,27,12,16,12,9,21,6,12,5
"4",2008-06-11,19,19,15,11,6,9,15,7,6,1
"5",2008-06-12,17,24,15,15,8,10,20,6,12,3
"6",2008-06-13,23,33,19,19,13,6,25,9,9,5
"7",2008-06-14,27,28,20,17,11,9,19,8,13,5
"8",2008-06-15,19,26,18,12,9,5,18,6,12,6
"9",2008-06-16,9,22,7,10,6,4,12,7,7,4
"10",2008-06-17,17,12,17,7,3,1,13,7,5,1
"11",2008-06-18,16,23,16,19,15,10,19,6,13,5
"12",2008-06-19,14,22,11,13,9,6,14,7,10,7
"13",2008-06-20,12,25,8,15,8,10,24,3,13,5
"14",2008-06-21,18,21,17,12,12,5,16,5,9,4
"15",2008-06-22,24,23,13,11,10,6,15,6,11,5
"16",2008-06-23,17,25,12,11,4,7,16,2,6,3
"17",2008-06-24,25,15,16,11,10,5,19,8,11,7
"18",2008-06-25,18,30,15,24,11,8,28,8,15,3
"19",2008-06-26,15,30,13,18,13,8,26,4,11,3
"20",2008-06-27,21,36,17,22,14,13,23,7,17,8
"21",2008-06-28,26,31,16,20,15,11,20,10,13,7
"22",2008-06-29,17,27,18,17,10,12,20,8,14,9
"23",2008-06-30,22,21,16,7,8,4,19,4,7,4
"24",2008-07-01,20,17,15,8,8,1,13,7,6,1
"25",2008-07-02,13,23,15,12,13,4,19,4,11,4
"26",2008-07-03,11,29,6,12,10,6,22,3,16,4
"27",2008-07-04,17,24,15,12,8,9,23,6,14,4
"28",2008-07-05,10,19,11,13,8,7,20,4,9,4
"29",2008-07-06,21,20,20,12,10,7,12,8,8,2
"30",2008-07-07,19,32,18,17,11,9,24,12,15,12
"31",2008-07-08,13,19,12,9,4,6,13,6,9,5
"32",2008-07-09,12,25,10,14,12,8,18,3,11,7
"33",2008-07-10,12,18,9,8,5,4,16,7,9,2
"34",2008-07-11,14,13,10,5,7,1,8,9,4,4
"35",2008-07-12,16,17,12,8,7,2,15,4,6,3
"36",2008-07-13,12,19,10,12,5,5,15,5,7,1
"37",2008-07-14,20,20,13,14,10,7,17,10,9,1
"38",2008-07-15,17,22,11,7,6,6,9,3,10,4
"39",2008-07-16,17,21,17,10,7,6,14,6,13,5
"40",2008-07-17,17,29,9,17,15,12,18,6,17,7
"41",2008-07-18,18,23,12,10,11,3,15,5,5,7
"42",2008-07-19,17,25,8,15,7,7,22,8,11,6
"43",2008-07-20,18,23,17,10,11,8,19,7,11,4
"44",2008-07-21,20,29,16,15,14,7,25,5,13,5
"45",2008-07-22,18,20,11,11,9,8,16,5,7,4
"46",2008-07-23,24,27,16,14,11,5,23,9,11,7
"47",2008-07-24,12,23,11,16,9,6,18,1,10,8
"48",2008-07-25,20,20,15,12,8,8,18,7,10,4
"49",2008-07-26,13,23,11,12,8,8,19,7,12,10
"50",2008-07-27,14,24,12,11,6,5,19,3,10,3
"51",2008-07-28,14,30,10,17,7,8,23,2,15,8
"52",2008-07-29,12,32,7,19,12,9,29,3,13,5
"53",2008-07-30,16,24,7,13,8,6,15,7,10,7
"54",2008-07-31,16,16,12,11,4,8,10,7,8,5
"55",2008-08-01,18,14,15,5,7,2,16,9,7,6
"56",2008-08-02,18,27,12,12,5,7,22,3,15,4
"57",2008-08-03,22,16,18,10,11,3,14,5,5,4
"58",2008-08-04,18,20,13,10,10,4,14,4,7,5
"59",2008-08-05,11,12,10,6,8,4,10,3,3,0
"60",2008-08-06,12,20,8,10,5,5,18,0,10,3
"61",2008-08-07,17,25,16,11,8,6,19,3,8,5
"62",2008-08-08,9,25,8,14,7,8,22,2,9,4
"63",2008-08-09,7,14,9,5,3,1,14,4,4,4
"64",2008-08-10,17,20,11,10,8,2,17,5,10,4
"65",2008-08-11,12,15,7,8,7,3,15,5,6,5
"66",2008-08-12,12,21,6,10,3,1,16,4,8,3
"67",2008-08-13,21,19,19,12,5,2,16,6,8,3
"68",2008-08-14,22,21,16,12,15,3,17,9,10,8
"69",2008-08-15,15,23,14,14,4,3,20,8,8,3
"70",2008-08-16,14,20,10,7,3,1,18,2,4,2
"71",2008-08-17,12,12,9,6,3,2,10,5,1,2
"72",2008-08-18,13,25,8,11,4,6,17,2,8,4
"73",2008-08-19,13,11,10,6,5,1,14,6,7,7
"74",2008-08-20,18,15,13,6,11,3,14,6,5,6
"75",2008-08-21,20,26,19,17,8,9,15,8,7,6
"76",2008-08-22,15,17,14,7,6,5,14,4,5,3
"77",2008-08-23,13,20,10,8,11,2,12,7,6,4
"78",2008-08-24,12,22,9,11,10,6,16,7,10,5
"79",2008-08-25,22,22,15,17,10,4,18,9,11,6
"80",2008-08-26,9,21,16,13,8,6,19,5,10,5
"81",2008-08-27,14,17,11,8,2,1,18,3,10,3
"82",2008-08-28,17,22,6,10,8,4,23,7,8,3
"83",2008-08-29,14,17,10,9,10,5,15,5,6,4
"84",2008-08-30,19,33,19,14,10,5,30,6,17,3
"85",2008-08-31,19,27,15,11,9,4,21,7,12,6
"86",2008-09-01,18,15,19,10,10,4,15,8,9,5
"87",2008-09-02,17,30,9,22,12,7,26,1,18,9
"88",2008-09-03,16,14,12,4,8,4,7,3,5,3
"89",2008-09-04,18,23,15,14,8,4,17,8,9,5
"90",2008-09-05,15,20,12,10,11,0,16,6,10,4
"91",2008-09-06,16,29,12,22,12,4,26,9,8,5
"92",2008-09-07,15,31,20,12,17,5,24,5,13,7
"93",2008-09-08,17,18,10,9,5,3,15,5,5,3
"94",2008-09-09,21,22,20,18,13,5,20,7,13,5
"95",2008-09-10,16,18,13,11,7,7,14,6,14,7
"96",2008-09-11,10,17,9,12,4,4,16,2,10,6
"97",2008-09-12,21,20,19,8,7,3,11,3,5,7
"98",2008-09-13,18,26,17,19,9,5,23,8,12,8
"99",2008-09-14,14,25,10,14,8,6,20,4,10,2
"100",2008-09-15,18,28,20,18,7,6,19,4,11,6
"101",2008-09-16,19,25,13,15,6,4,24,6,10,4
"102",2008-09-17,9,15,6,8,5,1,12,2,5,1
"103",2008-09-18,11,24,10,16,4,4,14,3,9,2
"104",2008-09-19,12,25,7,11,3,6,15,3,14,5
"105",2008-09-20,10,25,9,16,4,5,22,3,12,9
"106",2008-09-21,12,24,10,12,6,2,21,4,8,4
"107",2008-09-22,12,22,11,9,8,7,19,5,10,6
"108",2008-09-23,15,18,11,16,16,6,14,4,8,5
"109",2008-09-24,16,25,13,13,7,6,19,6,11,6
"110",2008-09-25,8,13,6,5,5,4,10,4,5,2
"111",2008-09-26,14,19,10,10,9,5,19,4,8,7
"112",2008-09-27,20,14,13,9,7,7,13,5,5,2
"113",2008-09-28,11,23,17,16,9,6,17,3,12,6
"114",2008-09-29,15,24,14,19,10,8,24,9,13,6
"115",2008-09-30,14,13,8,4,7,3,9,5,6,2
"116",2008-10-01,22,25,15,18,6,6,20,8,14,2
"117",2008-10-02,21,15,21,7,8,3,13,7,8,6
"118",2008-10-03,10,22,5,7,3,3,14,3,5,4
"119",2008-10-04,15,26,9,7,2,4,18,1,9,2
"120",2008-10-05,17,18,14,11,4,1,13,4,5,4
"121",2008-10-06,12,22,11,8,9,7,20,7,13,6
"122",2008-10-07,11,20,5,5,8,3,18,3,5,2
"123",2008-10-08,14,26,10,13,7,7,18,5,10,5
"124",2008-10-09,22,27,22,15,7,11,28,5,13,3
"125",2008-10-10,12,20,8,8,4,3,12,2,11,2
"126",2008-10-11,8,25,11,8,6,7,21,2,11,4
"127",2008-10-12,18,19,15,7,10,3,18,6,8,3
"128",2008-10-13,14,19,8,6,9,4,7,7,6,7
"129",2008-10-14,22,16,17,11,5,7,12,7,9,3
"130",2008-10-15,19,26,13,17,14,7,21,6,12,6
"131",2008-10-16,19,16,19,6,10,4,13,6,7,3
"132",2008-10-17,24,18,11,7,12,3,18,8,9,4
"133",2008-10-18,12,19,11,11,7,5,15,3,10,5
"134",2008-10-19,11,20,15,10,8,4,13,5,9,3
"135",2008-10-20,12,22,11,10,12,4,14,5,10,3
"136",2008-10-21,18,25,14,15,14,6,24,6,13,5
"137",2008-10-22,15,20,14,14,5,5,11,5,7,6
"138",2008-10-23,19,30,15,12,10,8,23,7,18,5
"139",2008-10-24,18,26,16,10,11,8,18,9,11,4
"140",2008-10-25,10,19,10,12,10,4,16,3,8,4
"141",2008-10-26,38,52,24,30,20,21,39,12,20,12
"142",2008-10-27,19,30,14,15,12,9,18,8,14,6
"143",2008-10-28,14,16,8,7,8,4,12,5,4,6
"144",2008-10-29,17,25,9,11,10,9,19,7,12,8
"145",2008-10-30,18,26,15,12,7,9,24,4,8,2
"146",2008-10-31,15,32,10,16,8,12,21,7,17,4
